,country,year,breast_cancer_number_of_death,breast_cancer_new_cases,income_per_person,population_growth
0,Afghanistan,2006,1960.0,1930.0,1160,3.23
1,Albania,2006,203.0,418.0,7920,-0.631
2,Algeria,2006,1650.0,2840.0,12300,1.46
3,Andorra,2006,12.8,53.4,42700,2.66
4,Angola,2006,796.0,892.0,4600,3.57
5,Antigua and Barbuda,2006,8.22,21.5,22500,1.17
6,Argentina,2006,5960.0,13000.0,16600,1.05
7,Armenia,2006,504.0,1120.0,6110,-0.7659999999999999
8,Australia,2006,2740.0,12600.0,39400,1.48
9,Austria,2006,1570.0,5220.0,42300,0.495
10,Azerbaijan,2006,549.0,1390.0,10700,1.1
11,Bahamas,2006,49.9,159.0,25500,1.98
12,Bahrain,2006,44.4,128.0,43200,7.5
13,Bangladesh,2006,3780.0,5620.0,2030,1.34
14,Barbados,2006,54.4,153.0,15900,0.375
15,Belarus,2006,1420.0,3380.0,12400,-0.612
16,Belgium,2006,2470.0,9500.0,40600,0.66
17,Belize,2006,9.72,17.8,8020,2.6
18,Benin,2006,292.0,309.0,1750,2.9
19,Bhutan,2006,17.4,24.4,4720,2.35
20,Bolivia,2006,422.0,705.0,4840,1.72
21,Bosnia and Herzegovina,2006,502.0,970.0,8770,-0.0545
22,Botswana,2006,88.5,176.0,12400,1.52
23,Brazil,2006,13600.0,33000.0,12600,1.11
24,Brunei,2006,19.7,90.6,85400,1.38
25,Bulgaria,2006,1320.0,3750.0,13600,-0.76
26,Burkina Faso,2006,403.0,380.0,1270,2.99
27,Burundi,2006,289.0,348.0,738,3.34
28,Cambodia,2006,919.0,1140.0,2150,1.53
29,Cameroon,2006,837.0,959.0,2650,2.71
30,Canada,2006,5350.0,21400.0,41200,0.797
31,Cape Verde,2006,15.7,23.1,4950,1.3
32,Central African Republic,2006,242.0,308.0,840,1.77
33,Chad,2006,275.0,312.0,1740,3.46
34,Chile,2006,1220.0,3190.0,17900,1.06
35,China,2006,58800.0,183000.0,6410,0.5579999999999999
36,Colombia,2006,2320.0,5510.0,9760,1.26
37,Comoros,2006,24.7,27.6,1480,2.39
38,"Congo, Dem. Rep.",2006,2050.0,2400.0,559,3.22
39,"Congo, Rep.",2006,254.0,317.0,4880,3.28
40,Costa Rica,2006,269.0,654.0,11700,1.42
41,Cote d'Ivoire,2006,1030.0,1090.0,2670,1.96
42,Croatia,2006,925.0,2520.0,20500,-0.045
43,Cuba,2006,1310.0,3090.0,15800,0.106
44,Cyprus,2006,120.0,459.0,34600,1.72
