country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,792,852,930,1020,1110,1200,1260,1310,1350,1410,1470,1530,1610,1690,1770,1860,1930,2000,2070,2140,2230,2300,2370,2460,2550,2640,2740
Albania,171,177,182,187,193,201,209,219,232,248,281,300,322,347,374,405,418,430,443,456,472,476,481,489,496,503,509
Algeria,967,1040,1130,1230,1350,1480,1530,1590,1650,1710,1770,1920,2080,2260,2450,2660,2840,3040,3250,3470,3720,3950,4220,4500,4800,5120,5460
Andorra,31.4,34,36.3,38.5,39.8,40.1,40.4,41.1,41.8,42.2,42.5,42.9,43.6,45.7,49,51.2,53.4,55.8,57.8,59.5,60.8,61.9,63,64.2,65.3,66.5,67.5
Angola,531,550,572,597,623,651,668,685,704,725,749,768,790,815,842,870,892,915,940,967,996,1030,1070,1110,1150,1200,1250
Antigua and Barbuda,12.3,12.7,13.3,13.9,14.6,15.5,16,16.6,17.2,17.9,18.5,19.1,19.5,19.9,20.3,20.7,21.5,22.4,23.4,24.4,25.4,26.5,27.7,28.9,30.1,31.4,32.8
Argentina,7830,8160,8530,8930,9360,9830,10100,10400,10700,11100,11400,11700,11900,12200,12500,12700,13000,13200,13500,13800,14100,14400,14800,15200,15600,16000,16400
Armenia,706,739,769,798,830,868,893,924,959,996,1030,1050,1070,1090,1100,1110,1120,1130,1130,1150,1190,1190,1210,1230,1250,1260,1260
Australia,7640,7990,8370,8750,9160,9610,9940,10300,10600,11000,11400,11600,11800,12000,12200,12400,12600,12700,12900,13100,13300,13700,14100,14500,14900,15300,15700
Austria,4530,4600,4680,4770,4850,4940,4960,4990,5030,5070,5110,5120,5130,5130,5160,5190,5220,5250,5280,5320,5360,5420,5480,5540,5610,5700,5800
Azerbaijan,750,783,819,863,914,972,991,1010,1040,1060,1090,1140,1180,1230,1280,1330,1390,1460,1530,1600,1680,1750,1810,1870,1940,2000,2050
Bahamas,73.2,76.5,79.9,83.3,87,91,94.8,98.9,104,109,114,121,128,135,143,152,159,167,175,184,193,201,209,217,226,235,244
Bahrain,39.4,42.1,45.3,48.9,53,57.6,61.1,65.2,69.7,74.3,79.3,85.5,91.9,99.1,108,119,128,139,152,165,177,188,197,205,212,219,231
